Series_reference,Period,Type,Data_value,Lower_CI,Upper_CI,Units,Indicator,Cause,Validation,Population,Age,Severity
W_A11,2000-02,Moving average,59.66666667,50.92582302,68.40751031,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2001-03,Moving average,60,51.23477459,68.76522541,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2002-04,Moving average,59,50.30812505,67.69187495,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2003-05,Moving average,59,50.30812505,67.69187495,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2004-06,Moving average,61.33333333,52.47125167,70.195415,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2005-07,Moving average,63,54.01831668,71.98168332,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2006-08,Moving average,57.33333333,48.76510444,65.90156223,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2007-09,Moving average,63.66666667,54.63758627,72.69574706,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2008-10,Moving average,64,54.94731413,73.05268587,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2009-11,Moving average,64.33333333,55.25710337,73.40956329,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2010-12,Moving average,55.33333333,46.91587684,63.75078983,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2011-13,Moving average,54.33333333,45.99228499,62.67438168,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2012-14,Moving average,51.33333333,43.22582886,59.4408378,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2013-15,Moving average,52,43.84001923,60.15998077,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2014-16,Moving average,54,45.68457705,62.31542295,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2015-17,Moving average,52,43.84001923,60.15998077,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2016-18,Moving average,53.66666667,45.37694834,61.956385,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A11,2017-19,Moving average,75.66666667,65.82338835,85.50994498,Injuries,Number,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2000-02,Moving average,1.543343121,1.317063238,1.769623003,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2001-03,Moving average,1.525510302,1.302605894,1.74841471,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2002-04,Moving average,1.464855873,1.249053431,1.680658315,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2003-05,Moving average,1.444340378,1.231538856,1.6571419,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2004-06,Moving average,1.488136846,1.273032627,1.703241065,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2005-07,Moving average,1.508692612,1.293405498,1.723979726,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2006-08,Moving average,1.356024624,1.153071925,1.558977323,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2007-09,Moving average,1.504094502,1.290341751,1.717847253,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2008-10,Moving average,1.50307983,1.289762645,1.716397015,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2009-11,Moving average,1.491112176,1.279822042,1.70240231,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2010-12,Moving average,1.259846064,1.067084058,1.452608071,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2011-13,Moving average,1.238243708,1.046779681,1.429707735,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2012-14,Moving average,1.166044323,0.980176433,1.351912214,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2013-15,Moving average,1.151603636,0.969183415,1.334023856,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2014-16,Moving average,1.170206329,0.988083456,1.352329202,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2015-17,Moving average,1.0996485,0.924884976,1.274412024,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2016-18,Moving average,1.11138354,0.937296892,1.285470187,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_A12,2017-19,Moving average,1.5278001,1.326169314,1.729430887,"Per 100,000 people",Age-standardised rate,Assault,Validated,Whole pop,All ages,Fatal
W_F11B,2000-02,Moving average,64.33333333,55.25710337,73.40956329,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2001-03,Moving average,68.66666667,59.28974158,78.04359176,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2002-04,Moving average,79,68.942246,89.057754,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2003-05,Moving average,83.33333333,73.00341613,93.66325054,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2004-06,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2005-07,Moving average,80.33333333,70.1910589,90.47560776,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2006-08,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2007-09,Moving average,91,80.20536009,101.7946399,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2008-10,Moving average,98,86.79787276,109.2021272,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2009-11,Moving average,96,84.91276941,107.0872306,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2010-12,Moving average,94,83.02886926,104.9711307,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2011-13,Moving average,86.33333333,75.8191216,96.84754506,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2012-14,Moving average,88.33333333,77.69803264,98.96863403,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2013-15,Moving average,86.33333333,75.8191216,96.84754506,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2014-16,Moving average,91,80.20536009,101.7946399,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2015-17,Moving average,86.33333333,75.8191216,96.84754506,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2016-18,Moving average,89.66666667,78.95140018,100.3819332,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F11B,2017-19,Moving average,91.66666667,80.8325581,102.5007752,Injuries,Number,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2000-02,Moving average,1.746581507,1.499968186,1.993194828,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2001-03,Moving average,1.838470694,1.587357389,2.089583999,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2002-04,Moving average,2.074291131,1.810206195,2.338376066,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2003-05,Moving average,2.152382334,1.885538033,2.419226634,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2004-06,Moving average,2.188612763,1.921391115,2.455834412,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2005-07,Moving average,2.006630018,1.752934246,2.26032579,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2006-08,Moving average,2.102569215,1.845497075,2.359641354,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2007-09,Moving average,2.180136506,1.92081566,2.439457352,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2008-10,Moving average,2.294072565,2.030903491,2.55724164,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2009-11,Moving average,2.177680721,1.924883079,2.430478363,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2010-12,Moving average,2.076675639,1.832837779,2.320513499,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2011-13,Moving average,1.844976321,1.618429971,2.07152267,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2012-14,Moving average,1.845878833,1.6214164,2.070341265,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2013-15,Moving average,1.75182479,1.536079369,1.967570211,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2014-16,Moving average,1.812515211,1.595017326,2.030013096,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2015-17,Moving average,1.653380305,1.449669947,1.857090662,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2016-18,Moving average,1.675290791,1.47231128,1.878270302,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_F12B,2017-19,Moving average,1.63671305,1.440348154,1.833077947,"Per 100,000 people",Age-standardised rate,Falls,Validated,Whole pop,0-74 years,Fatal
W_W12,2002-04,Moving average,89,78.32464154,99.67535846,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2003-05,Moving average,82,71.75305536,92.24694464,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2004-06,Moving average,76.33333333,66.44678765,86.21987902,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2005-07,Moving average,69,59.60034294,78.39965706,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2006-08,Moving average,66.66666667,57.42730784,75.9060255,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2007-09,Moving average,65.33333333,56.18683474,74.47983193,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2008-10,Moving average,76.33333333,66.44678765,86.21987902,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2009-11,Moving average,93.66666667,82.71500556,104.6183278,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2010-12,Moving average,87.66666667,77.07157519,98.26175814,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2011-13,Moving average,75.33333333,65.51176018,85.15490649,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2012-14,Moving average,53.66666667,45.37694834,61.956385,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2013-15,Moving average,52.33333333,44.14724055,60.51942611,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2014-16,Moving average,53.66666667,45.37694834,61.956385,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2015-17,Moving average,58,49.3820998,66.6179002,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2016-18,Moving average,59.33333333,50.61693965,68.04972702,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2017-19,Moving average,64.66666667,55.56695354,73.7663798,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2018-20,Moving average,61.66666667,52.78053589,70.55279744,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2019-21,Moving average,61,52.16203289,69.83796711,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W12,2020-22,Moving average,53,44.76193151,61.23806849,Injuries,Number,Work,Validated,Whole pop,All ages,Fatal
W_W14,2002-04,Moving average,5.156729822,4.538191178,5.775268467,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2003-05,Moving average,4.495352627,3.933078482,5.057626773,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2004-06,Moving average,4.033838922,3.510343512,4.557334332,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2005-07,Moving average,3.555335282,3.069112803,4.041557761,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2006-08,Moving average,3.326693273,2.861383754,3.792002791,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2007-09,Moving average,3.234615346,2.776120028,3.693110664,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2008-10,Moving average,3.840742215,3.334470362,4.347014069,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2009-11,Moving average,4.64683427,4.089946092,5.203722448,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
